DATE,Product,Sales_Quantity,CFG,CHANNEL_ID,PRODUCT_ID,Model_NAME,SCHEDULER_NAME,Pending_Order,Target
30-04-2016,CORD,10,POWERCORD_K2490,1865,62416,WHITEFISHMFFBTX,BTX_OPTIPLEX_DESKTOPS,297,Normal
26-11-2016,ODM Mechanical,13,CVRNR_CFG,5000005,80280,PR46306LOVELNB14,LULU_CHEN,1,Good
29-10-2016,LCD,15,"H986Y-ASSY,LCD,FHD,WWAN,TCH,H12",5000004,57515,HOUSTON12CTO,PHOAY_HOON_TAN (LATI LCD),1,Good
26-12-2015,SSD_NB_DT,8,SSD_NB_M2_2260_64GB_SATA,2190,59668,PLANOMCTO,KENNETH_HOGAN_NBK_HDD,4,Good
09-04-2016,Wireless,8,CRD_WRLES_M.2_INTEL8260_WW,2190,62418,CODAIOBTX,BTX_OPTIPLEX_DESKTOPS,154,Normal
02-07-2016,HDD_NB_DT,8,HDD_NB_2_5_500GB_5400_SATA3,2190,60153,TULIP15AMDBTX,BTX_PERSONAL_NOTEBOOKS,26,Bad
25-06-2016,HDD_NB_DT,8,HDD_NB_2_5_500GB_SATA3_HYB,5001415,53542,ALPINE 15,CHOON_PHENG_OOI,1,Good
07-01-2017,LCD,15,15.6HD_AG_ULSLIM_E7_NBLCD,2190,60705,VANGOGH15BDWBTX,BTX_VOSTRO_NOTEBOOKS,1,Normal
16-04-2016,Battery,13,Echo13_4_Upsell_Poly_ED650,5000945,63395,ECHO 13 MLK CTO,NORMAWARZURA_MAT (BATTERY_APJ),35,Good
10-12-2016,Graphic Card,19,"VWYHN-CRD,GRPHC,16GB,240W,M60,A,FF2",1865,52226,MEGATRON,DAVID_ENDLE_GPU_ENTERPRISE,3,Good
30-01-2016,Memory,13,MEM_PR_DDR4_2133_4GB_4Gbx8SR_LV,5001416,52235,BEACHCOMBER,SIEW_KUN_NG,6,Good
11-03-2017,ODM Mechanical,13,"NYPDX-ASSY,CVR,HD+/FHD+WIGI,EDP,D17",1865,53852,DIESEL17CTO,HAR_HOOI_LIM(LCD_RELATIONSHIPNB),1,Good
